Publication Year,Author Keywords,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital Twin;Internet of Things;Blockchain;Data Interaction,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital Twins;Internet of Things (IoT);Distributed Ledger Technologiess (DLTs);Hyperledger Fabric;interoperability;decentralization;immutability;auditability;availability;reliability,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Digital Twins;Industrial Internet of Things;Cyber-Physical Systems;Artificial Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital twin technology;Architecture;Key technology;Smart Internet of things;Big data technology;Big data platform,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Forestry 4.0;Digital Twins;ForestML 4.0;Internet of Things,,,,,,,,,,,,,,,,,,,,,,,,,
2022,artificial intelligence;YOLOv3;digital twin;BIM;internet of things;big data;construction;FFNN model,,,,,,,,,,,,,,,,,,,,,,,,,
2022,IIoT;Digital Twin;AGV,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital Twins;Distributed Ledger Technologies;Internet of Things;Sensing;Actuation;Blockchain;Ethereum;Hyperledger Fabric;Auditability;Availability,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital Twin;Edge Computing;Cloud Computing;Smart Building;Computer Vision;Internet of Things (IoT),,,,,,,,,,,,,,,,,,,,,,,,,
2023,Digital Twin;Digital Thing;Abstraction;Upcasting;Inheritance,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital Twin;Model-Driven Engineering;Architecture Deployment,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Equipment monitoring system;energy characteristics;Digital Twins;Internet of Things,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital twin;cyber-physical system;industrial Internet of things;small and micro parks,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Cloud computing;Communication protocols;Cyber-physical systems;Digital twin;Internet of Things,,,,,,,,,,,,,,,,,,,,,,,,,
2022,cyber-physical systems;digital twin;service-oriented architectures;3D model;industry 4.0;cloud computing,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Block chain;Smart contracts;Decentralized blocks;Artificial intelligence;Digital twin creation;IoT;taxonomy;Hash function and cloud servers,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Digital Twins;Internet of Things;IoT Platform;MCU system,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Geological disasters;monitoring and early warning;digital twin;BP neural network,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Data driven;digital twin (DT);framework;high-dimensional indicator;jointly spatial-temporal analysis;situation awareness (SA);uncertainty,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital Twin;Soil Carbon Accounting;Proximity Radar Sensor;Internet of Living Things (IoT);Artificial Intelligent Internet of Things (AIoT);Artificial Intelligent Internet of Living Things (AIoLT),,,,,,,,,,,,,,,,,,,,,,,,,
2020,Industry 4.0;IoT;Digital Twins;Open-Source;Benchmark,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Blockchain;cooperative federated learning;digital twin edge networks;directed acyclic graph (DAG);iterative double auction,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital twin;digital transformation;smart manufacturing;industry 4.0;structural health monitoring;5G,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Internet of Things (IoT);Artificial Intelligence;Digital Twin;Smart Campus,,,,,,,,,,,,,,,,,,,,,,,,,
2021,rod pump;digital twin;model;simulation,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Industrial Internet of Things (IIoT);GRAFCET virtual machine (GVM);digital twin;programming logic controller (PLC);gateway;cyber-physical system (CPS),,,,,,,,,,,,,,,,,,,,,,,,,
2019,Digital twin;eGastronomic things;augmented reality;virtual reality;3D interaction;Internet of Things;security,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Cold chain;digital twins;risk analysis;temperature-sensitive-products,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital Twin;Smart City;IOT;Simulation;AI;BIM;IFC;HVAC,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital Twins;ICPS;Eclipse Arrowhead Framework;DTaaP.,,,,,,,,,,,,,,,,,,,,,,,,,
2023,digital twin;visual geo-Localization;smart city;IoT,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital twin;core network;network configuration;atomic capability;operating maintenance,,,,,,,,,,,,,,,,,,,,,,,,,
2019,industry 40;digital twin;augmented reality;internet of things;stress analysis,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Blockchain;digital twin (DT);Internet of Things (IoT);network optimization;sustainable system,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Data resampling;digital twin;edge computing;Industrial Internet of Things (IIoT);predictive maintenance;system identification;time synchronization,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Digital Twin;Energy Internet;Internet of Things,,,,,,,,,,,,,,,,,,,,,,,,,
2022,cybersecurity;digital twins;IoT;healthcare,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Internet of things;agriculture;smart farming;digital twin;digital smart farming,,,,,,,,,,,,,,,,,,,,,,,,,
2022,IoT;standards;standardization;IoT standardization,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital Twins (DTs);Blockchain;Industrial Internet of Things (IIoT);Sensors;Data security and trust,,,,,,,,,,,,,,,,,,,,,,,,,
2023,power transformer;health index;internet of things;transformer monitoring,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Data communications;digital twins;Internet of Things (IoT);metaverse;augmented reality (AR);mobile edge computing (MEC);responsible artificial intelligence (AI);virtual reality (VR),,,,,,,,,,,,,,,,,,,,,,,,,
2023,Digital Twin;Smart Healthcare;Healthcare;Cybersecurity;Smart Cities,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Digital Asset;Digital Twin;Project Management;Investment and Capital Construction Projects;Internet of Things;Big Data;Digitization;Artificial Intelligence.,,,,,,,,,,,,,,,,,,,,,,,,,
2022,expressway toll station;multi queue digital twin;edge decision;Internet of things;multiple lanes;remote duty,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Energy Internet;Digital Twins;Artificial Intelligence;Source-Grid-Load-Storage;Things of Internet,,,,,,,,,,,,,,,,,,,,,,,,,
2019,digital twin;distributed ledger technology;fog computing;edge computing;Internet of Things;predictive maintenance,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Digitalization;Internet of Things;Cyber-Physical Systems;mechatronics;mechanical engineering;laboratory,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Digital Twin;DDoS;IoT;Metaverse;Fog computing,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital Twin;Internet of Things;Industy 4.0,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Internet of Things;Industrial Internet of Things;Digital Twins;Augmented Reality;3-D Printing,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Device-to-device (D2D) communication;digital twin (DT);edge computing;federated learning (FL);industrial Internet of Things (IIoT);resource allocation;sixth generation (6G),,,,,,,,,,,,,,,,,,,,,,,,,
2021,Digital Twin;Evolution;Maintenance;Fluent APIs,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Artificial Intelligence of Things;Internet of Medical Things;Digital Twin;Smart Healthcare,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital twins;micro-services;network management,,,,,,,,,,,,,,,,,,,,,,,,,
2022,internet of things;digital twin;aerospace;material management;supply chain management;warehouse,,,,,,,,,,,,,,,,,,,,,,,,,
2021,digital twin;federated learning;learning efficiency;communication efficiency,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital process twin;Autonomous systems,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Comprehensive clock model;digital twin;Industrial Internet of Things (IIoT);packet delay variation (PDV);resource saving;temperature compensated skew correction,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital Twin;Automated Guided Vehicle;Metamodel;Object Oriented Programming (OOP);Machine vision,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital Twin;Edge Computing;Cloud Computing;Smart Building;Computer Vision;Internet of Things (IoT),,,,,,,,,,,,,,,,,,,,,,,,,
2022,Cross-layer optimization;digital twins (DTs);hazardous gas tracing;Industrial Internet of Things (IIoT);parallel optimization framework,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Industry 4.0;Intelligent Manufacturing;CPS;IoT;Digital Twin;and Reliability analysis,,,,,,,,,,,,,,,,,,,,,,,,,
2021,development plan;digital twin;integration of graph and data;online grid;Planning Information System,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Battery management;storage battery;operation and maintenance system;digital twin,,,,,,,,,,,,,,,,,,,,,,,,,
2021,urban rail traction power supply system;digital twin;energy saving;multiphysics modeling;data-driven,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital twin;Industry 4.0;Internet of Things (IoT);Virtual Reality;VR;NETPIE,,,,,,,,,,,,,,,,,,,,,,,,,
2021,digital twin;digital twin security;digital twin threats;data communication;artificial intelligence,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Augmented Twin;Internet of Things;Lightweight Device;Intelligent Cooperation;Genetic Algorithm,,,,,,,,,,,,,,,,,,,,,,,,,
2022,digital model;manufacturing;data;digital twin-driven;product line design,,,,,,,,,,,,,,,,,,,,,,,,,
2021,COVID-19;Mental Stress;Internet of Things;Digital Twin;Machine Learning,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Digital twin;graduation intelligent manufacturing system (GiMS);Industrial Internet of Things (IIoT);manufacturing planning and control (MPC);shop-floor logistics and manufacturing synchronization,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Smart Factory;Industry 4.0;Digital Twin;Internet of Things (IoT);Distributed Denial of Service (DDoS),,,,,,,,,,,,,,,,,,,,,,,,,
2023,digital twin;Internet of Vehicles;hierarchical reinforcement learning,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Digital Twin;Internet of Things;Industry 4.0;Manufacturing;Artificial Intelligence;Landscape,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Cyber-Physical System;Information System Architecture;Internet of Things;Digital Twin;InfluxData Platform;Modelica,,,,,,,,,,,,,,,,,,,,,,,,,
2022,digital twin computing;photonics networks;carbon neutrality;cyber-physical systems,,,,,,,,,,,,,,,,,,,,,,,,,
2021,additive manufacturing;inkjet printing;Radar;RFID,,,,,,,,,,,,,,,,,,,,,,,,,
2022,IIoT;digital twin;carbon emissions;energy efficiency;industry,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital twin (DT);distributed learning;machine learning (ML);Internet of Things (IoT);product design,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Digital Twin;data streaming;lifecycle data management;smart cars;IoT;CPS,,,,,,,,,,,,,,,,,,,,,,,,,
2022,digital twin;modular multilevel converter (MMC);electro-thermal model;hardware in the loop;life prediction,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Edge;5G;MEC;Digital Twin;OpenNESS,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Digital twins;Maintenance;Railway;Pantograph catenary interaction;IoT;Damage detection;Asset Health Management,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Cyber-physical systems;cyberspace;digital twins;digital twin web;Internet of Things;internet topology;metadata;metamodeling;open-source software;semantic web;web services,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Collaborative manufacturing;digital twin;manufacturing resources;smart manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Edge intelligence;digital twin;DNN partitioning;Industrial Internet of Things (IIoT),,,,,,,,,,,,,,,,,,,,,,,,,
2021,Blockchain;communication efficiency;digital twin;edge networks;federated learning,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital twins;building;BIM;Twinning;KTU,,,,,,,,,,,,,,,,,,,,,,,,,
2022,IoT;Digital Twins;Security;Autonomous Adversary Emulation;DT,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Amazon Web services (AWS);cloud computing;connected vehicles;digital twin;edge computing,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Cyber Physical System;Digital Twin;Embedded Sensing;Asset Management;Internet of Things,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Blockchain;deep reinforcement learning (DRL);digital twin (DT);multiagent;virtual reality (VR),,,,,,,,,,,,,,,,,,,,,,,,,
2022,digital twin;virtual reality;post-stroke rehabilitation;Internet of Things;cloud services;Microsoft Azure,,,,,,,,,,,,,,,,,,,,,,,,,
2022,MBSE;Digital Twin;Digital Shadow;Digital Model;SysML,,,,,,,,,,,,,,,,,,,,,,,,,
2018,augmented reality;virtual reality;internet of things;sensor networks;virtual environment of things,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Internet of Things;W3C Web of Things;Digital Twin;Markov Decision Process;Machine Learning;Simulation,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Internet of Things;Digital Twins;Internet of Robotic Things;Virtual Reality;Robot Navigation;Remote Health Monitoring;COVID-19,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Smart City;Digital Twin;Big Data Analysis;Deep Learning;Internet of Things,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital twin;big data;Internet of things;artificial intelligence,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Digital Twin;Hospital of the Future;Internet of Things;Modeling;Simulation,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Digital twin;ontology;Internet of Things;Cyber Physical Systems,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Blockchain;digital twin;Industrial Internet of Things (IIoT);oracle,,,,,,,,,,,,,,,,,,,,,,,,,
2022,CPS (Cyber Physical System);Digital Twin;Smart Factory;Processing Control;Virtualization,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Computing;execution uncertainty;Industrial Internet of Things (IIoT);multitask scheduling;optimization,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital twin edge networks (DITEN);6G;DT modeling;DT deployment;applications;challenges,,,,,,,,,,,,,,,,,,,,,,,,,
2020,high voltage cable;digital twin;Internet of things;condition monitoring,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Digital twin;bionics;product development;co-evolution;product life cycle,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Internet of Things;Building energy;InfluxDB;Smart energy,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Data age target;digital twin (DT);minimum delay;placement,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Internet-of-Things;Digital Twin;Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,
2022,digital twin;robotic automation;smart manufacturing;system life cycle,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Digital twins;industrial Internet of things (IIoT);standards,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Digital Twin;Modeling and Simulation;Cyber-Physical System;Internet of Things;Industry 4.0,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital twin;virtual mechanism;Intelligent Electronic Device;virtual machine;configuration;cloud-based;firmware update,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Data fusion;digital twin;generative adversarial network (GAN);Internet of Things (IoT);multifidelity;NVIDIA Omniverse,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Internet of Things (IoT);healthcare;digital twin;cyber resilience;lung cancer,,,,,,,,,,,,,,,,,,,,,,,,,
2019,interactive wildfire simulation;digital twin;internet of thing;data assimilation,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Spatial Division;Identifier Assignment;Road Name Address;IoT System;Digital Twin;Indoor Space;IndoorGML,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Industrial Internet of Things;Industry 40;Machine Learning;Artificial Intelligence;Digital Twin,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Digital Twin;4EM methodology;simulation modelling;strategic Cominication,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital Twin;Mechatronics;Mechatronics Concept Designer;TIA Portal,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Digital twin;virtual platform;Internet of Things;cyber-physical systems,,,,,,,,,,,,,,,,,,,,,,,,,
2016,eRobotics;Virtual Testbed;Digital Twin;Simulation Technology,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital Twins;DLTs;Blockchain;IoT;WoT;Ethereum;Interoperability;Auditability;Availability,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Crowdsensing;differential game;digital twins (DTs);evolutionary game;game theory;Internet of Things (IoT);metaverse;resource allocation;synchronization,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital twin (DT);Internet of Medical Things (IoMT);mixed reality (MR);remote surgery;robust auxiliary classifier generative adversarial network (rAC-GAN) model,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital twin (DT);edge computing;orchestration;Social Internet of Things (SIoT),,,,,,,,,,,,,,,,,,,,,,,,,
2022,Internet of Things;Fog Computing;Edge;Cloud;Digital Twins;Wind Turbines,,,,,,,,,,,,,,,,,,,,,,,,,
2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Internet of digital twins;security;privacy;artificial intelligence;semantic communication;blockchain,,,,,,,,,,,,,,,,,,,,,,,,,
2022,UIoT;UIoT RA;standardization;ISO/IEC JTC1/SC41/WG7,,,,,,,,,,,,,,,,,,,,,,,,,
2022,5G/6G;autoencoder (AE);digital twin;industrial Internet of Thing (IoT);Industry 4.0;machine health;reconfigurable intelligent surface (RIS),,,,,,,,,,,,,,,,,,,,,,,,,
2023,Digital twins;maritime transportation system;Internet of Things;relay cooperation;maritime silk road,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Blockchain;communication efficiency;digital twin;federated learning;wireless networks,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Smart Factory;Internet of Things;Data-Intensive Smart Factory;Operationalization Process Automation;Digital Twin Platform;IoT-Sensed Dataset;Time-Series Dataset,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Deep reinforcement learning (DRL);digital twin;edge association;transfer learning;wireless network,,,,,,,,,,,,,,,,,,,,,,,,,
2021,data analytics;digital twin;internet of things;the industrial revolution;working space,,,,,,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Industry 4.0;Internet of Things;Digital twins;intelligent control and management,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Digital twin;machine learning;microgrid;physical twin;power system;security;transportation system,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Alternating optimization;digital twin;industrial Internet-of-Things;mobile edge computing (MEC);ultra-reliable and low latency communications (URLLC),,,,,,,,,,,,,,,,,,,,,,,,,
2023,Blockchain;data and knowledge;reinforcement learning;resource management;sustainable computing,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Digital Twins;Interdependence;IoT;Smart Cities;Spatiotemporal Flux,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Asynchronous;communication efficiency;digital twin (DT);federated learning;learning efficiency,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital Twin;distributed and parallel computing;interoperability;and OT/IT convergence,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Cyber Twins;Digital Twins;Industry 4.0;Digital Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Digital twin;enterprise systems;Industrial Internet of Things;cyber-physical systems,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Digital Twin;SoS Engineering;CPS;IoT,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Augmented Reality;Mixed Reality;Smart City;Urban Digital Twin;Virtual City Miniature;Virtual IoT;360 videos,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Blockchain;Hyperledger Fabric;Data sharing system;Digital Twins,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Cloud computing;deep learning (DL);digital twin (DT);Internet of Things (IoT);structural health monitoring (SHM),,,,,,,,,,,,,,,,,,,,,,,,,
2021,Cyber Physical Systems;Internet of Things;Digital Twin;Industry 4.0;Society 5.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Internet of Things;Digital Twins;secured communication;OAuth2;Smart Systems Service Infrastructure (S3I),,,,,,,,,,,,,,,,,,,,,,,,,
2020,Blockchain;Industrial Internet of Things (IIoT);Industry 40;intelligent manufacturing system (IMS);manufacturing blockchain of things (MBCoT),,,,,,,,,,,,,,,,,,,,,,,,,
2023,Blockchain;digital twin (DT);privacy protection;vehicular networks,,,,,,,,,,,,,,,,,,,,,,,,,
2022,data prediction;digital twin;MLP;virtual sensor,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,multi-robot systems;ACP framework;kinematic control;neural dynamics;Internet of Things,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Artificial intelligence (AI);blockchain;digital twin (DT);edge collaboration,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Ray tracing;PLM;trustworthy identification;virtual fitting;IIoT,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Energy efficiency;federated learning (FL);digital twin (DT);Industrial Internet of Things (IIoT),,,,,,,,,,,,,,,,,,,,,,,,,
2021,thermal power plant;digital twin;intelligent management;water system,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Digital twin;microcontroller;non-linear dynamical systems;system predictor;black-box model,,,,,,,,,,,,,,,,,,,,,,,,,
2022,cloud-based development platform;distribution power Internet of Things;digital twins;software development,,,,,,,,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,DT (Digital Twin);Automation;Intelligent Electronic Devices(IED);SIPROTEC Devices;Ranorex;Digital Siemens(DIGSI);Information Routing Matrix;Disconnector (DC);Circuit Breaker (CB);Continuous Function Chart (CFC).,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Security;IoT system;IoT end-devices;cost and time savings;modelling;simulated devices;digital twin;verification;validation;test;scalability;design quality,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Federated Learning;Anomaly Detection;Internet of Medical Things;Remote Patient Monitoring;Security;Privacy;Edge Cloudlet Computing;Long Short-Term Memory;Digital Twin,,,,,,,,,,,,,,,,,,,,,,,,,
2022,computer application;digital twin;digital twin city;element framework,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Mixed Reality(MR);Internet of Things (IoT);Artificial Intelligence (AI);Convergence Platform;Disaster Response;Military Surveillance;Digital Twin,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Digital Transformation;Business and Management research;Literature Review;Bibliometric analysis;Co-word network analysis,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital twins;smart grid;energy assets modeling;business models;energy services.,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital Twin;Real World;Virtual World;Healthcare;Security,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Digital twin (DT);electrocardiogram (ECG);Internet of Things (IoT);machine learning;smart healthcare%,,,,,,,,,,,,,,,,,,,,,,,,,
2021,digitization;digital twin;blockchain;virtual fabrication facility,,,,,,,,,,,,,,,,,,,,,,,,,
2022,environmental digital twins;cyber-physical systems;network requirements;inspection;maintenance;repair robots;cloud robotics,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Deep learning;digital twin (DT)-inspired model;generative adversarial network (GAN);Gramian angular field (GAF);sensor faults,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,digital twin;smart home;ontology;Protégé,,,,,,,,,,,,,,,,,,,,,,,,,
2021,digital twin;modeling method;state evaluation;virtual interaction,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital twin;metaverse;mobile edge computing;ultra-reliable and low latency communications,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital Twin;Robotics;Internet of Things;Industrial IoT;Robotic Arm;Robot Operating System (ROS),,,,,,,,,,,,,,,,,,,,,,,,,
2023,Data quality;ecosystem requirements;Internet of Things (IoT);reference IoT ecosystem;smart manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,3-D modeling;digital twin (DT);smart clothing system;user-system interaction;wearable devices,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,digital twin networks;edge association;6g,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Digital Twin;Internet of Things;Security;Trust;Collaboration;Infrastructure;Supply Chains,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Industry 4.0;Digital Twin;Context awareness;Ontology;Cyber Physical System;Internet of Things (IoT),,,,,,,,,,,,,,,,,,,,,,,,,
2022,Finite state machine;digital twin;the IoT device;simulation;production line,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Digital Twins;IoT;5G;Jetson Nano;Agriculture,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Stream Processing;Internet of Things;Self-Service,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Communication Middleware;Digital twin;CPS;Modeling&Simulation;ADAS,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Digital twin;smart cities;industry 4.0;society 5.0;IoT;smart manufacturing;cyber-physical systems;open challenges,,,,,,,,,,,,,,,,,,,,,,,,,
2021,digital twin;Internet of Vehicles;incentives;ADMM;Stackelberg game,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Edge cooperation;Digital twin;Artificial Intelligent;Resource allocation,,,,,,,,,,,,,,,,,,,,,,,,,
